14500,-0.674,-0.431,0.037,0.001,0.973,2.164,0.383,-0.605
14700,-0.677,-0.416,0.036,0.001,1.008,2.117,0.374,-0.603
14900,-0.687,-0.403,0.035,0.003,1.032,2.079,0.362,-0.614
15100,-0.686,-0.401,0.035,0.002,1.036,2.033,0.362,-0.614
15300,-0.69,-0.391,0.035,3.42E-04,1.055,1.987,0.346,-0.616
15500,-0.696,-0.385,0.034,0.001,1.066,1.957,0.352,-0.627
15700,-0.697,-0.376,0.03,-0.001,1.071,1.913,0.336,-0.621
15900,-0.702,-0.371,0.033,2.52E-04,1.086,1.873,0.333,-0.633
16100,-0.699,-0.366,0.03,0.002,1.098,1.839,0.323,-0.628
16300,-0.703,-0.356,0.033,-0.002,1.11,1.784,0.31,-0.638
16500,-0.708,-0.349,0.032,-2.42E-04,1.124,1.766,0.315,-0.646
16700,-0.711,-0.344,0.031,0.002,1.134,1.72,0.296,-0.649
16900,-0.714,-0.332,0.031,0.001,1.15,1.676,0.296,-0.65
17100,-0.722,-0.326,0.03,-0.001,1.158,1.646,0.278,-0.652
17300,-0.72,-0.324,0.029,-4.74E-04,1.165,1.616,0.276,-0.664
17500,-0.724,-0.315,0.029,-0.001,1.162,1.585,0.263,-0.655
17700,-0.73,-0.308,0.029,-0.002,1.183,1.546,0.255,-0.667
17900,-0.729,-0.299,0.028,-0.001,1.185,1.519,0.255,-0.661
18100,-0.735,-0.294,0.027,-0.001,1.189,1.482,0.238,-0.669
18300,-0.736,-0.286,0.027,-0.001,1.196,1.447,0.242,-0.675
18500,-0.74,-0.283,0.025,-0.001,1.2,1.423,0.226,-0.673
18700,-0.737,-0.279,0.026,-0.001,1.194,1.39,0.223,-0.684
18900,-0.74,-0.27,0.025,-0.001,1.206,1.356,0.217,-0.68
19100,-0.745,-0.26,0.025,-0.002,1.212,1.315,0.205,-0.687
19300,-0.75,-0.257,0.025,-0.003,1.217,1.295,0.201,-0.69
19500,-0.743,-0.252,0.024,-0.002,1.209,1.261,0.191,-0.692
19700,-0.754,-0.243,0.023,-0.002,1.223,1.235,0.183,-0.693
19900,-0.753,-0.241,0.024,-0.002,1.22,1.211,0.172,-0.699
20100,-0.755,-0.234,0.023,1.10E-04,1.21,1.186,0.178,-0.698
20300,-0.759,-0.229,0.022,-6.44E-05,1.21,1.16,0.161,-0.699
20500,-0.758,-0.218,0.021,0.001,1.214,1.125,0.158,-0.703
